Nr,Ort,Firma,Branche,Website-Status,Komplexitaet,Paket,Preis,Telefon,Ansprechpartner/Adresse,Aufhaenger,Status
1,Freiberg a.N.,Baesslerhof,Hofladen/Direktvermarkter,keine,S,Starter,2490,E-Mail Fritz.b@gmx.de,Fritz B. - Mittlerer Weg 1,Komplett ohne Online-Praesenz - Onepager mit Automaten & Oeffnungszeiten,Neu
2,Freiberg a.N.,Bauernhof Weissinger,Hofladen/Direktvermarkter,keine,S,Starter,2490,07144 271085,Birgit & Martin Weissinger,Milchautomat & Hofladen online sichtbar machen,Neu
3,Freiberg a.N.,Breitenbuechers Direktvermarktung,Hofladen/Direktvermarkter,nur Facebook,S,Starter,2490,07141 707837,breitenbuechers-dv@gmx.de,Starke Story Huehnervilla verdient eigene Seite statt nur FB,Neu
4,Freiberg a.N.,Hofgut Beihingen,Hofladen/Direktvermarkter,keine,S,Starter,2490,07141 72040,gut-beihingen@gmx.de,Hofladen + Eierautomat praesentieren,Neu
5,Freiberg a.N.,Cafe Bar La Plaza,Gastronomie,Gratis-Baukasten,S,Starter,2490,07141 7968623,Marktplatz 9,Nur Baukasten 9gg.de - echtes Design + Reservierung,Neu
6,Freiberg a.N.,Gaststaette Rose Beihingen,Gastronomie,keine,S,Starter,2490,Tel. Verzeichnis pruefen,Mehmet Avsar - Neckarstr. 2,Speisekarte & Oeffnungszeiten online,Neu
7,Freiberg a.N.,Dr. Christine / Birgit Weiss,Arzt/Kinderarzt,nur Portal,M,Business,4990,07141 271718,Marktplatz 10,Keine eigene Seite - nur Verbands-Portal + web.de-Mail,Neu
8,Freiberg a.N.,Dr. Karl-Heinz Aupperle,Arzt/Frauenarzt,keine,M,Business,4990,07141 72422,Marktplatz 20,Keine eigene Website - nur Doctolib-Listing,Neu
9,Freiberg a.N.,Dr. Uta Willimowski,Arzt/Allgemeinmedizin,keine,M,Business,4990,07141 9743731,Zeppelinstr. 6 (Beihingen),Weder Website noch Online-Termin,Neu
10,Freiberg a.N.,Dr. Rainer & Ulrike Thomas,Arzt/Hausarzt,keine,M,Business,4990,07141 271640,Marktplatz 10,Gemeinschaftspraxis ganz ohne eigene Website,Neu
11,Freiberg a.N.,Fischer GmbH,Handwerk/Bau,veraltet,M,Business,4990,07141 643196-0,Harteneckstr. 21,Tabellen-Layout nicht mobil kein Anfrageformular,Neu
12,Freiberg a.N.,Flaschnerei Mereu,Handwerk/Flaschner,veraltet/offline,M,Business,4990,07141 780780,Obere Dorfstr. 19,Seite offline (HTTP 503) kein HTTPS - verliert Anfragen,Neu
13,Freiberg a.N.,Broesamle Hausverwaltung,Immobilien/Verwaltung,veraltet/kein HTTPS,M,Business,4990,07141 6425200,Siemensstr. 18 (Heutingsheim),Kein SSL nicht mobil + schwache Bewertungen,Neu
14,Freiberg a.N.,Scholz GmbH,Handwerk/SHK,veraltet,M,Business,4990,07141 9919770,Steinbeisstr. 12,Veraltet nicht mobil - ACHTUNG bauen evtl. selbst um,Neu
15,Freiberg a.N.,Hesperia Immobilien,Immobilien,keine (geparkt),M,Business,4990,07141 6423985,Marc Baeuerle (Heutingsheim),Domain nur geparkt - vorher Aktivitaet pruefen,Neu
16,Freiberg a.N.,Eiscafe Venezia,Gastronomie,Template-Subdomain,S,Starter,2490,07141 9475895,Marktplatz 4,DISH-Template ohne eigene Domain - Marke staerken,Neu
17,Freiberg a.N.,FAN-Immoservice,Immobilien/Verwaltung,schwach (Standard-WP),M,Business,4990,0176 47390565,Holger Guettich,Standard-Theme kein Leadformular - Lead-Generierung,Neu
18,Freiberg a.N.,Welacare,Pflege/24h-Betreuung,schwach (kein Formular),M,Business,4990,0162 4695737,Joanne Wieland,Modern aber nur E-Mail statt Leadformular,Neu
19,Freiberg a.N.,Pudel Orthopaedie-Schuhtechnik,Gesundheit/Handwerk,veraltet (TYPO3),M,Business,4990,07141 1464730,Marktplatz 10 (Filiale),Veraltetes CMS - Filiale einer Kette,Neu
